Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
2012,23,CHW,AL,6,6,0.5,3.76,25,22,2,0,0,0,136.1,142,62,57,14,42,4,81,3,2,10,568,113,4.23,1.35,9.4,0.9,2.8,5.3,1.93
2013,24,CHW,AL,9,7,0.563,3.51,33,33,0,0,0,0,200,188,83,78,23,56,2,164,5,1,2,832,120,3.82,1.22,8.5,1,2.5,7.4,2.93
2014,25,CHW,AL,9,11,0.45,3.32,32,32,0,0,0,0,200.1,197,87,74,10,52,3,178,2,0,7,830,113,2.81,1.243,8.9,0.4,2.3,8,3.42
2015,26,CHW,AL,9,10,0.474,3.36,32,32,0,1,1,0,206.1,218,81,77,16,44,4,177,8,0,5,862,116,3.18,1.27,9.5,0.7,1.9,7.7,4.02
2016,27,CHW,AL,13,12,0.52,3.2,32,32,0,0,0,0,208,192,76,74,22,50,1,181,4,1,10,837,126,3.56,1.163,8.3,1,2.2,7.8,3.62
2017,28,TOT,MLB,11,11,0.5,4.15,32,32,0,1,1,0,188.2,170,92,87,23,61,4,207,10,1,8,790,105,3.68,1.224,8.1,1.1,2.9,9.9,3.39
2017,28,CHW,AL,4,8,0.333,4.49,18,18,0,0,0,0,104.1,98,55,52,14,40,1,109,2,1,7,444,96,4.02,1.323,8.5,1.2,3.5,9.4,2.73
2017,28,CHC,NL,7,3,0.7,3.74,14,14,0,1,1,0,84.1,72,37,35,9,21,3,98,8,0,1,346,118,3.25,1.103,7.7,1,2.2,10.5,4.67
2018,29,CHC,NL,13,11,0.542,4.03,32,32,0,0,0,0,174.1,162,81,78,25,68,3,158,3,0,3,739,103,4.43,1.319,8.4,1.3,3.5,8.2,2.32
2019,30,CHC,NL,13,9,0.591,4.68,32,31,0,0,0,0,171,191,100,89,20,46,0,152,2,0,11,745,94,3.8,1.386,10.1,1.1,2.4,8,3.3
2020,31,CHC,NL,0,0,,4.5,4,1,0,0,0,0,10,10,5,5,1,3,0,12,0,0,1,41,103,2.99,1.3,9,0.9,2.7,10.8,4
2021,32,TOT,MLB,0,3,0,6.43,29,10,5,0,0,0,63,74,50,45,12,35,1,85,1,1,7,297,69,4.66,1.73,10.6,1.7,5,12.1,2.43
2021,32,LAA,AL,0,3,0,6.75,24,10,5,0,0,0,53.1,66,45,40,9,29,0,73,1,0,5,254,66,4.31,1.781,11.1,1.5,4.9,12.3,2.52
2021,32,SFG,NL,0,0,,4.66,5,0,0,0,0,0,9.2,8,5,5,3,6,1,12,0,1,2,43,91,6.58,1.448,7.4,2.8,5.6,11.2,2
