Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
2016,21,WSN,NL,0,1,0,6.75,6,4,1,0,0,0,21.1,26,18,16,7,12,0,11,1,1,1,101,64,8.21,1.781,11,3,5.1,4.6,0.92
2017,22,CHW,AL,3,3,0.5,2.38,7,7,0,0,0,0,45.1,31,14,12,8,12,0,34,3,0,2,179,181,4.94,0.949,6.2,1.6,2.4,6.8,2.83
2018,23,CHW,AL,10,13,0.435,6.13,32,32,0,0,0,0,173.1,166,123,118,27,90,2,125,15,0,13,775,69,5.56,1.477,8.6,1.4,4.7,6.5,1.39
2019,24,CHW,AL,14,9,0.609,3.41,29,29,0,3,2,0,176.2,131,69,67,24,57,1,228,4,0,6,705,134,3.43,1.064,6.7,1.2,2.9,11.6,4
2020,25,CHW,AL,4,3,0.571,3.48,12,12,0,1,1,0,72.1,47,31,28,8,28,0,97,2,0,3,288,128,3.19,1.037,5.8,1,3.5,12.1,3.46
2021,26,CHW,AL,11,9,0.55,3.53,31,31,0,1,0,0,178.2,145,74,70,27,52,1,201,2,0,12,720,123,3.79,1.103,7.3,1.4,2.6,10.1,3.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
